;file;rule;runtime_profile;runtime_multiprofile;time_gains;time_gains_percent;length_gains;length_gains_percent;num_voters;num_sat;avg_vote_length;avg_vote_length_cat
0;poland_warszawa_2020_wawer.pb;greedy_welfare;0.8399701118469238;1.1080920696258545;-0.26812195777893066;-0.31920416452602685;1321;0.24229640498899485;5452;4131;8.719552457813647;9
1;poland_wroclaw_2018_rejon-nr-7-750.pb;greedy_welfare;0.012772560119628906;2.956390380859375e-05;0.012742996215820312;0.9976853580228477;3790;0.9992090693382547;3793;3;1.0;1
2;poland_warszawa_2018_piaski.pb;greedy_welfare;0.013677835464477539;0.0071141719818115234;0.006563663482666016;0.47987589116073137;493;0.5990279465370596;823;330;5.3900364520048605;5
3;poland_warszawa_2021_mokotow.pb;greedy_welfare;1.4802675247192383;2.071526527404785;-0.5912590026855469;-0.3994271257134352;2675;0.20683522771205443;12933;10258;9.70834299853089;10
4;poland_zabrze_2020_.pb;greedy_welfare;0.11130118370056152;0.00013566017150878906;0.11116552352905273;0.9987811434973256;9368;0.9992533333333333;9375;7;1.0;1
5;poland_lodz_2022_julianow-marysin-rogi.pb;greedy_welfare;0.04456496238708496;0.007377147674560547;0.037187814712524414;0.8344630561901144;2682;0.8676803623422841;3091;409;2.1734066645098675;2
6;poland_lodz_2020_lagiewniki.pb;greedy_welfare;0.0024530887603759766;0.00018453598022460938;0.002268552780151367;0.924774030518029;408;0.9379310344827586;435;27;2.2367816091954023;2
7;poland_warszawa_2018_aleksandrow.pb;greedy_welfare;0.0030660629272460938;0.0001652240753173828;0.002900838851928711;0.9461119751166407;458;0.9642105263157895;475;17;1.9663157894736842;2
8;poland_warszawa_2018_przywisle.pb;greedy_welfare;0.010335922241210938;0.0038557052612304688;0.006480216979980469;0.6269606938549548;569;0.6905339805825244;824;255;6.214805825242719;6
9;poland_warszawa_2023_wola.pb;greedy_welfare;0.4954793453216553;0.7268233299255371;-0.23134398460388184;-0.46690944191366435;1181;0.17470414201183437;6760;5579;10.346745562130177;10
10;poland_warszawa_2020_wesola.pb;greedy_welfare;0.034450531005859375;0.03277182579040527;0.0016787052154541016;0.048727992470379844;520;0.345514950166113;1505;985;5.877076411960133;6
11;poland_warszawa_2018_obszar-4-zoliborz-poludniowy-powazki.pb;greedy_welfare;0.018332242965698242;0.00011801719665527344;0.01821422576904297;0.9935623154855575;3466;0.9954049396898335;3482;16;1.4319356691556577;1
12;poland_poznan_2023_8-chartowo-rataje-zegrze.pb;greedy_welfare;0.10221242904663086;0.0004975795745849609;0.1017148494720459;0.9951319073499568;16181;0.9961829711260235;16243;62;1.2466908822261897;1
13;poland_wroclaw_2017_rejon-nr-12-250.pb;greedy_welfare;0.12188029289245605;0.00022339820861816406;0.12165689468383789;0.9981670686596127;9082;0.9985706432105552;9095;13;1.0;1
